# RRKM rate for corannulene isomer 
En(eV)     K(E) s-1
8.778020  8.159213e+09
8.790419  8.260041e+09
8.802817  8.361959e+09
8.815215  8.464859e+09
8.827614  8.568744e+09
8.840012  8.673704e+09
8.852410  8.779700e+09
8.864809  8.886752e+09
8.877207  8.994825e+09
8.889605  9.103963e+09
8.902004  9.214205e+09
8.914402  9.325512e+09
8.926800  9.437894e+09
8.939199  9.551340e+09
8.951597  9.665920e+09
8.963995  9.781612e+09
8.976394  9.898440e+09
8.988792  1.001637e+10
9.001190  1.013544e+10
9.013589  1.025561e+10
9.025987  1.037695e+10
9.038385  1.049945e+10
9.050784  1.062311e+10
9.063182  1.074794e+10
9.075580  1.087393e+10
9.087979  1.100114e+10
9.100377  1.112959e+10
9.112775  1.125917e+10
9.125174  1.138999e+10
9.137572  1.152203e+10
9.149970  1.165531e+10
9.162369  1.178980e+10
9.174767  1.192560e+10
9.187165  1.206255e+10
9.199564  1.220084e+10
9.211962  1.234042e+10
9.224360  1.248131e+10
9.236759  1.262340e+10
9.249157  1.276681e+10
9.261555  1.291156e+10
9.273954  1.305758e+10
9.286352  1.320495e+10
9.298750  1.335373e+10
9.311149  1.350372e+10
9.323547  1.365510e+10
9.335945  1.380791e+10
9.348344  1.396197e+10
9.360742  1.411751e+10
9.373140  1.427434e+10
9.385539  1.443270e+10
9.397937  1.459234e+10
9.410335  1.475349e+10
9.422734  1.491602e+10
9.435132  1.507994e+10
9.447530  1.524534e+10
9.459929  1.541222e+10
9.472327  1.558055e+10
9.484725  1.575031e+10
9.497124  1.592155e+10
9.509522  1.609430e+10
9.521920  1.626856e+10
9.534319  1.644432e+10
9.546717  1.662157e+10
9.559115  1.680041e+10
9.571514  1.698068e+10
9.583912  1.716252e+10
9.596310  1.734593e+10
9.608709  1.753097e+10
9.621107  1.771755e+10
9.633505  1.790562e+10
9.645904  1.809543e+10
9.658302  1.828670e+10
9.670700  1.847960e+10
9.683099  1.867434e+10
9.695497  1.887049e+10
9.707895  1.906834e+10
9.720294  1.926785e+10
9.732692  1.946888e+10
9.745090  1.967176e+10
9.757489  1.987623e+10
9.769887  2.008247e+10
9.782285  2.029037e+10
9.794684  2.049995e+10
9.807082  2.071125e+10
9.819480  2.092429e+10
9.831879  2.113909e+10
9.844277  2.135569e+10
9.856675  2.157397e+10
9.869074  2.179405e+10
9.881472  2.201594e+10
9.893870  2.223960e+10
9.906269  2.246505e+10
9.918667  2.269231e+10
9.931065  2.292142e+10
9.943464  2.315235e+10
9.955862  2.338511e+10
9.968260  2.361978e+10
9.980659  2.385624e+10
9.993057  2.409458e+10
10.005455  2.433483e+10
10.017854  2.457696e+10
10.030252  2.482104e+10
10.042650  2.506706e+10
10.055049  2.531489e+10
10.067447  2.556485e+10
10.079845  2.581666e+10
10.092244  2.607031e+10
10.104642  2.632613e+10
10.117040  2.658374e+10
10.129439  2.684357e+10
10.141837  2.710524e+10
10.154235  2.736895e+10
10.166634  2.763470e+10
10.179032  2.790248e+10
10.191430  2.817236e+10
10.203829  2.844429e+10
10.216227  2.871822e+10
10.228625  2.899420e+10
10.241024  2.927242e+10
10.253422  2.955267e+10
10.265820  2.983498e+10
10.278219  3.011952e+10
10.290617  3.040612e+10
10.303015  3.069492e+10
10.315414  3.098585e+10
10.327812  3.127897e+10
10.340210  3.157424e+10
10.352609  3.187173e+10
10.365007  3.217141e+10
10.377405  3.247335e+10
10.389804  3.277743e+10
10.402202  3.308393e+10
10.414600  3.339259e+10
10.426999  3.370345e+10
10.439397  3.401653e+10
10.451795  3.433207e+10
10.464194  3.464987e+10
