       No.    E-Emin     Density     Sum
       492    49100.0  1.06798E+38  1.16044E+41
       493    49200.0  1.17459E+38  1.27790E+41
       494    49300.0  1.29167E+38  1.40706E+41
       495    49400.0  1.42024E+38  1.54909E+41
       496    49500.0  1.56141E+38  1.70523E+41
       497    49600.0  1.71640E+38  1.87687E+41
       498    49700.0  1.88654E+38  2.06552E+41
       499    49800.0  2.07328E+38  2.27285E+41
       500    49900.0  2.27822E+38  2.50067E+41
       501    50000.0  2.50312E+38  2.75098E+41
       502    50100.0  2.74987E+38  3.02597E+41
       503    50200.0  3.02057E+38  3.32803E+41
       504    50300.0  3.31752E+38  3.65978E+41
       505    50400.0  3.64321E+38  4.02410E+41
       506    50500.0  4.00038E+38  4.42414E+41
       507    50600.0  4.39204E+38  4.86334E+41
       508    50700.0  4.82145E+38  5.34549E+41
       509    50800.0  5.29221E+38  5.87471E+41
       510    50900.0  5.80823E+38  6.45553E+41
       511    51000.0  6.37380E+38  7.09291E+41
       512    51100.0  6.99359E+38  7.79227E+41
       513    51200.0  7.67274E+38  8.55955E+41
       514    51300.0  8.41683E+38  9.40123E+41
       515    51400.0  9.23199E+38  1.03244E+42
       516    51500.0  1.01249E+39  1.13369E+42
       517    51600.0  1.11028E+39  1.24472E+42
       518    51700.0  1.21738E+39  1.36646E+42
       519    51800.0  1.33465E+39  1.49992E+42
       520    51900.0  1.46304E+39  1.64623E+42
       521    52000.0  1.60360E+39  1.80659E+42
       522    52100.0  1.75745E+39  1.98233E+42
       523    52200.0  1.92584E+39  2.17492E+42
       524    52300.0  2.11013E+39  2.38593E+42
       525    52400.0  2.31177E+39  2.61711E+42
       526    52500.0  2.53240E+39  2.87035E+42
       527    52600.0  2.77376E+39  3.14772E+42
       528    52700.0  3.03778E+39  3.45150E+42
       529    52800.0  3.32654E+39  3.78415E+42
       530    52900.0  3.64234E+39  4.14839E+42
       531    53000.0  3.98767E+39  4.54716E+42
       532    53100.0  4.36524E+39  4.98368E+42
       533    53200.0  4.77801E+39  5.46148E+42
       534    53300.0  5.22923E+39  5.98440E+42
